metric_category,metric_name,is_self_affirmed,observation_count,unique_commit_count,median_delta,mean_delta,q1_delta,q3_delta,improvement_rate,worsening_rate
design_smell,Broken Hierarchy,False,695,695,0.0,0.0028776978417266188,0.0,0.0,0.004316546762589928,0.008633093525179856
design_smell,Broken Hierarchy,True,1404,1404,0.0,-0.7663817663817664,0.0,0.0,0.004985754985754986,0.010683760683760684
design_smell,Broken Modularization,False,695,695,0.0,-0.0057553956834532375,0.0,0.0,0.0028776978417266188,0.0057553956834532375
design_smell,Broken Modularization,True,1404,1404,0.0,-0.049145299145299144,0.0,0.0,0.004985754985754986,0.009259259259259259
design_smell,Cyclic Hierarchy,False,695,695,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Cyclic Hierarchy,True,1404,1404,0.0,-0.002136752136752137,0.0,0.0,0.0007122507122507123,0.0
design_smell,Cyclic-Dependent Modularization,False,695,695,0.0,0.007194244604316547,0.0,0.0,0.0,0.004316546762589928
design_smell,Cyclic-Dependent Modularization,True,1404,1404,0.0,-0.35327635327635326,0.0,0.0,0.00641025641025641,0.023504273504273504
design_smell,Deep Hierarchy,False,695,695,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Deep Hierarchy,True,1404,1404,0.0,-0.011396011396011397,0.0,0.0,0.0014245014245014246,0.0
design_smell,Deficient Encapsulation,False,695,695,0.0,0.007194244604316547,0.0,0.0,0.004316546762589928,0.008633093525179856
design_smell,Deficient Encapsulation,True,1404,1404,0.0,-0.8867521367521367,0.0,0.0,0.004985754985754986,0.019943019943019943
design_smell,Hub-like Modularization,False,695,695,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Hub-like Modularization,True,1404,1404,0.0,-0.014957264957264958,0.0,0.0,0.002136752136752137,0.0
design_smell,Imperative Abstraction,False,695,695,0.0,0.0028776978417266188,0.0,0.0,0.004316546762589928,0.007194244604316547
design_smell,Imperative Abstraction,True,1404,1404,0.0,-0.00641025641025641,0.0,0.0,0.002849002849002849,0.004273504273504274
design_smell,Insufficient Modularization,False,695,695,0.0,0.004316546762589928,0.0,0.0,0.0057553956834532375,0.010071942446043165
design_smell,Insufficient Modularization,True,1404,1404,0.0,-0.43945868945868943,0.0,0.0,0.0035612535612535613,0.021367521367521368
design_smell,Missing Hierarchy,False,695,695,0.0,0.0,0.0,0.0,0.0014388489208633094,0.0014388489208633094
design_smell,Missing Hierarchy,True,1404,1404,0.0,-0.002136752136752137,0.0,0.0,0.0014245014245014246,0.0014245014245014246
design_smell,Multifaceted Abstraction,False,695,695,0.0,0.0028776978417266188,0.0,0.0,0.0,0.0014388489208633094
design_smell,Multifaceted Abstraction,True,1404,1404,0.0,-0.005698005698005698,0.0,0.0,0.002849002849002849,0.0014245014245014246
design_smell,Multipath Hierarchy,False,695,695,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Multipath Hierarchy,True,1404,1404,0.0,-0.004985754985754986,0.0,0.0,0.0014245014245014246,0.0014245014245014246
design_smell,Rebellious Hierarchy,False,695,695,0.0,0.0,0.0,0.0,0.0,0.0
design_smell,Rebellious Hierarchy,True,1404,1404,0.0,-0.03561253561253561,0.0,0.0,0.002136752136752137,0.0007122507122507123
design_smell,Unexploited Encapsulation,False,695,695,0.0,-0.0014388489208633094,0.0,0.0,0.0014388489208633094,0.0
design_smell,Unexploited Encapsulation,True,1404,1404,0.0,-0.00641025641025641,0.0,0.0,0.0014245014245014246,0.0007122507122507123
design_smell,Unnecessary Abstraction,False,695,695,0.0,0.0014388489208633094,0.0,0.0,0.008633093525179856,0.025899280575539568
design_smell,Unnecessary Abstraction,True,1404,1404,0.0,-0.32407407407407407,0.0,0.0,0.012108262108262107,0.014957264957264958
design_smell,Unutilized Abstraction,False,695,695,0.0,0.36115107913669064,0.0,0.0,0.031654676258992806,0.1251798561151079
design_smell,Unutilized Abstraction,True,1404,1404,0.0,-3.698005698005698,0.0,0.0,0.04843304843304843,0.14173789173789172
design_smell,Wide Hierarchy,False,695,695,0.0,0.0028776978417266188,0.0,0.0,0.0,0.0028776978417266188
design_smell,Wide Hierarchy,True,1404,1404,0.0,-0.027777777777777776,0.0,0.0,0.0014245014245014246,0.0007122507122507123
implementation_smell,Abstract Function Call From Constructor,False,695,695,0.0,0.0,0.0,0.0,0.0,0.0
implementation_smell,Abstract Function Call From Constructor,True,1404,1404,0.0,-0.004273504273504274,0.0,0.0,0.0007122507122507123,0.0007122507122507123
implementation_smell,Complex Conditional,False,695,695,0.0,0.07194244604316546,0.0,0.0,0.02877697841726619,0.060431654676258995
implementation_smell,Complex Conditional,True,1404,1404,0.0,-0.2022792022792023,0.0,0.0,0.01282051282051282,0.053418803418803416
implementation_smell,Complex Method,False,695,695,0.0,0.09496402877697842,0.0,0.0,0.014388489208633094,0.10071942446043165
implementation_smell,Complex Method,True,1404,1404,0.0,-0.21296296296296297,0.0,0.0,0.014245014245014245,0.07478632478632478
implementation_smell,Empty catch clause,False,695,695,0.0,0.027338129496402876,0.0,0.0,0.011510791366906475,0.02877697841726619
implementation_smell,Empty catch clause,True,1404,1404,0.0,-0.5071225071225072,0.0,0.0,0.009259259259259259,0.029914529914529916
implementation_smell,Long Identifier,False,695,695,0.0,0.053237410071942444,0.0,0.0,0.0,0.011510791366906475
implementation_smell,Long Identifier,True,1404,1404,0.0,-2.7955840455840457,0.0,0.0,0.00641025641025641,0.007834757834757835
implementation_smell,Long Method,False,695,695,0.0,-0.14244604316546763,0.0,0.0,0.004316546762589928,0.011510791366906475
implementation_smell,Long Method,True,1404,1404,0.0,-0.014957264957264958,0.0,0.0,0.004985754985754986,0.019230769230769232
implementation_smell,Long Parameter List,False,695,695,0.0,0.04028776978417266,0.0,0.0,0.007194244604316547,0.04316546762589928
implementation_smell,Long Parameter List,True,1404,1404,0.0,-0.18233618233618235,0.0,0.0,0.00641025641025641,0.042735042735042736
implementation_smell,Long Statement,False,695,695,0.0,-6.713669064748202,0.0,0.0,0.07913669064748201,0.24028776978417266
implementation_smell,Long Statement,True,1404,1404,0.0,-17.46011396011396,0.0,0.0,0.08048433048433049,0.22293447293447294
implementation_smell,Magic Number,False,695,695,0.0,-314.72805755395683,0.0,0.0,0.060431654676258995,0.2474820143884892
implementation_smell,Magic Number,True,1404,1404,0.0,-11.448005698005698,0.0,1.0,0.05128205128205128,0.2670940170940171
implementation_smell,Missing default,False,695,695,0.0,0.007194244604316547,0.0,0.0,0.0,0.007194244604316547
implementation_smell,Missing default,True,1404,1404,0.0,-0.019230769230769232,0.0,0.0,0.0035612535612535613,0.011396011396011397
method_metric,CC,False,4391,928,0.0,-0.12024595764062856,0.0,0.0,0.06854930539740378,0.08403552721475746
method_metric,CC,True,7495,1915,0.0,-0.5955970647098066,0.0,0.0,0.15797198132088058,0.08925950633755837
method_metric,LOC,False,4391,928,0.0,-0.5222045092234116,0.0,0.0,0.14506946025962195,0.1974493281712594
method_metric,LOC,True,7495,1915,0.0,-4.002001334222816,-1.0,0.0,0.2640426951300867,0.20066711140760507
method_metric,PC,False,4391,928,0.0,0.09519471646549761,0.0,0.0,0.05055795946253701,0.1293554998861307
method_metric,PC,True,7495,1915,0.0,0.11314209472981988,0.0,0.0,0.08605737158105403,0.17838559039359572
type_metric,DIT,False,1244,337,0.0,0.01929260450160772,0.0,0.0,0.006430868167202572,0.027331189710610933
type_metric,DIT,True,2470,766,0.0,-11.963562753036438,0.0,0.0,0.008097165991902834,0.01700404858299595
type_metric,FANIN,False,1244,337,0.0,0.006430868167202572,0.0,0.0,0.02009646302250804,0.04983922829581994
type_metric,FANIN,True,2470,766,0.0,0.012955465587044534,0.0,0.0,0.04048582995951417,0.0680161943319838
type_metric,FANOUT,False,1244,337,0.0,0.03858520900321544,0.0,0.0,0.0297427652733119,0.07395498392282958
type_metric,FANOUT,True,2470,766,0.0,-0.005668016194331984,0.0,0.0,0.05020242914979757,0.07732793522267206
type_metric,LCOM,False,1244,337,0.0,-0.0026356995945441327,0.0,0.0,0.04581993569131833,0.04260450160771704
type_metric,LCOM,True,2470,766,0.0,-0.002893902233971515,0.0,0.0,0.061133603238866394,0.061133603238866394
type_metric,LOC,False,1244,337,0.0,-0.4879421221864952,0.0,0.0,0.15112540192926044,0.14790996784565916
type_metric,LOC,True,2470,766,0.0,-0.8113360323886639,0.0,0.0,0.11497975708502024,0.17651821862348177
type_metric,NOF,False,1244,337,0.0,0.03778135048231511,0.0,0.0,0.03778135048231511,0.058681672025723476
type_metric,NOF,True,2470,766,0.0,-0.010121457489878543,0.0,0.0,0.06396761133603239,0.06072874493927125
type_metric,NOM,False,1244,337,0.0,0.04903536977491962,0.0,0.0,0.06752411575562701,0.08520900321543408
type_metric,NOM,True,2470,766,0.0,0.07530364372469636,0.0,0.0,0.06518218623481781,0.10526315789473684
type_metric,WMC,False,1244,337,0.0,0.1527331189710611,0.0,0.0,0.07315112540192927,0.09163987138263666
type_metric,WMC,True,2470,766,0.0,-0.14534412955465587,0.0,0.0,0.07692307692307693,0.11417004048582996
